id,name,short_name,description,status,updated_at,created_at
12,Devshare,Devshare,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
13,Vinder,Vinder,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
14,Linkbuzz,Linkbuzz,"Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
15,Topicware,Topicware,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo.",active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
16,Plambee,Plambee,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.",inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
17,Yamia,Yamia,Ut at dolor quis odio consequat varius.,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
18,Avamba,Avamba,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
19,Jabbersphere,Jabbersphere,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
20,Voonix,Voonix,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.",inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
21,Twitternation,Twitternation,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
22,Rhynoodle,Rhynoodle,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
23,Oodoo,Oodoo,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
24,Topiclounge,Topiclounge,Maecenas pulvinar lobortis est.,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
25,Eadel,Eadel,"Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
26,Voomm,Voomm,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
27,Oloo,Oloo,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.",active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
28,Vipe,Vipe,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui.",inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
29,Rhycero,Rhycero,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
30,Abatz,Abatz,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
31,Mymm,Mymm,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
32,Voonder,Voonder,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
33,Buzzster,Buzzster,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
34,Avavee,Avavee,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
35,Meembee,Meembee,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
36,Thoughtstorm,Thoughtstorm,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
37,Blogspan,Blogspan,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
38,Trilia,Trilia,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
39,Skilith,Skilith,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
40,Tavu,Tavu,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
41,Eazzy,Eazzy,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.",active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
42,Quamba,Quamba,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
43,Babbleopia,Babbleopia,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.",active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
44,Demizz,Demizz,"Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
45,Eazzyoom,Eazzyoom,"Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
46,Wordware,Wordware,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
47,Livetube,Livetube,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
48,Flazzy,Flazzy,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
49,Eimbee,Eimbee,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
50,Dabvine,Dabvine,Sed ante.,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
