id,name,short_name,description,vendor,price,sale_price,status,updated_at,created_at
27,hac habitasse platea dictumst maecenas ut massa quis,sed accumsan felis ut,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.",3,394,381.397785537,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
28,rhoncus sed vestibulum sit amet cursus id turpis,erat fermentum justo,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",9,382,311.0559974729,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
29,a ipsum integer a nibh in,orci luctus et,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,4,525,329.2542176294,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
30,et tempus semper est quam pharetra magna ac consequat metus,donec pharetra magna,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",5,887,616.6751092689,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
31,vestibulum sit amet,maecenas tincidunt lacus at,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",2,846,573.5481117085,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
32,in faucibus orci luctus,odio consequat,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",1,626,508.1362986721,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
33,dapibus augue vel accumsan tellus nisi eu orci,posuere cubilia curae duis,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",6,479,442.509914282,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
34,nunc viverra dapibus nulla suscipit ligula in lacus,sapien cum sociis,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",2,919,911.7460756747,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
35,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac,rutrum neque,"Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.",9,550,444.7959033907,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
36,quis turpis sed,consectetuer,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.",10,302,199.7232939285,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
37,orci eget orci vehicula,augue,Curabitur gravida nisi at nibh.,1,899,483.126426025,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
38,donec dapibus duis,donec diam neque vestibulum eget,Aliquam non mauris.,9,673,358.1056675117,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
39,velit eu est congue elementum,lacus curabitur,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",5,880,680.2313879584,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
40,urna ut tellus nulla ut erat id mauris vulputate,auctor sed tristique in,Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui.,8,526,329.0145466345,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
41,quis turpis eget,sem duis aliquam convallis nunc,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",5,48,42.1204821966,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
42,vel augue vestibulum rutrum rutrum neque aenean,platea,"Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",8,645,522.7756439909,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
43,nunc viverra dapibus nulla suscipit ligula in,primis in faucibus,Vestibulum ac est lacinia nisi venenatis tristique.,6,265,254.3180736245,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
44,a odio in hac,aliquet at feugiat non,Ut tellus. Nulla ut erat id mauris vulputate elementum.,6,485,270.1378805615,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
45,ut ultrices vel augue vestibulum ante ipsum primis in,mus vivamus,"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",9,433,232.568328606,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
46,vestibulum rutrum rutrum neque aenean auctor gravida,libero rutrum ac,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",9,383,232.016480161,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
47,nulla mollis molestie lorem quisque ut,ac est lacinia nisi venenatis,"Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",4,612,592.0876855066,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
48,donec quis orci,at,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",7,212,137.67243902,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
49,felis fusce posuere felis sed lacus morbi sem mauris,est quam pharetra magna,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",9,909,792.1837235816,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
50,consequat morbi a ipsum integer a nibh in quis,ut suscipit a feugiat,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",9,497,465.6009388883,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
51,ultrices vel augue vestibulum ante ipsum primis in,amet justo morbi ut odio,"Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",9,945,589.6466729221,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
52,nisl aenean lectus pellentesque eget nunc donec quis,turpis a,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.",10,868,768.521682565,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
53,pretium iaculis justo in hac habitasse platea dictumst,ac tellus,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,8,244,206.5064493937,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
54,quis augue luctus tincidunt nulla mollis molestie,metus arcu adipiscing molestie,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.",6,228,182.1488958744,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
55,massa tempor convallis,ac lobortis,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,6,557,480.1669715744,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
56,libero ut massa volutpat convallis morbi odio odio,metus arcu adipiscing molestie,"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",5,729,725.5277156596,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
57,lectus vestibulum quam sapien varius ut blandit non interdum in,ultrices,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,9,21,17.5122925167,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
58,nam ultrices libero non mattis pulvinar nulla pede,integer ac leo,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",4,139,92.188550414,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
59,ultrices enim lorem ipsum dolor sit,vestibulum ante,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,9,719,472.348889737,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
60,ligula sit amet eleifend pede libero quis orci,viverra pede,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",6,355,307.3816780437,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
61,mauris morbi non lectus,est donec odio justo,"Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",8,259,200.8027026571,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
62,praesent blandit nam nulla integer,eu felis fusce posuere,"Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",7,411,324.5211179577,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
63,iaculis justo in hac habitasse platea dictumst etiam,cras mi,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,1,74,61.2908569334,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
64,aliquam erat volutpat in congue etiam justo etiam pretium iaculis,libero nam dui proin leo,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.",6,809,785.6874224203,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
65,augue vestibulum rutrum rutrum neque aenean auctor gravida sem,ante vivamus tortor,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",1,914,457.7730554363,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
66,elit ac nulla sed,magnis dis parturient montes nascetur,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.",5,742,460.3773516428,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
67,viverra dapibus nulla suscipit ligula in lacus,nulla eget,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",10,514,313.6140374135,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
68,sodales scelerisque mauris,leo maecenas,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1,13,11.4023387813,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
69,congue vivamus metus arcu adipiscing,nunc vestibulum ante ipsum primis,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",7,571,435.204433306,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
70,habitasse platea dictumst etiam faucibus cursus urna,massa,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",9,169,152.0171283072,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
71,suspendisse potenti cras in purus,ipsum aliquam non mauris morbi,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",5,464,410.491107602,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
